1.0	0.77425	0.699
0.8	0.6774	0.871
1.33333	1.344	2.387
0.75	0.637	0.656
0.75	0.72575	0.9515
0.75	0.53225	0.53225
1.16667	1.016	0.6516
1.0	0.9435	0.59133
1.0	0.79567	0.6935
1.5	1.37075	2.016
0.8	0.7806	0.63433
0.75	0.9515	0.75
0.88889	0.79567	0.83867
0.75	0.65325	0.70967
1.5	1.40325	0.871
0.83333	0.8065	0.70975
1.33333	1.344	0.758
0.75	0.79025	0.79025
1.0	1.226	0.855
1.5	1.5	2
0.75	0.629	0.758
1.33333	1.19367	0.742
1.0	0.9515	1.0
1.0	1.215	0.88167
0.8	0.8968	0.98933
0.6	0.8	0.559
1.0	1.258	0.516
0.75	1.0	0.75
0.8	0.7612	0.76333
1.0	0.81	0.80643
1.0	0.96771	0.79567
1.0	0.71322	0.6935
1.33333	1.129	1.968
1.0	0.96767	0.774
1.66667	1.43	1.09667
1.0	1.23667	0.855
0.83333	0.83867	1.008
1.0	0.887	1.387
0.75	0.6855	0.46233
0.83333	0.77417	0.91125
1.66667	1.828	4.129
1.66667	0.92467	0.59133
2	2	1
2.0	1.79567	1.887
1.0	1.15325	0.84675
0.8	0.7096	0.656
0.75	0.79025	1.01067
0.0	0.0	0.0
3.0	3.0	2
0.75	0.637	0.656
0.8	0.729	0.75
0.90909	0.77418	0.83333
0.85714	0.85714	0.66667
1.0	0.6935	0.6935
3.5	2.984	3.516
0.5	0.258	0.0
1.0	0.7015	0.7095
2.5	2.0645	4.0
1.0	0.7548	0.59133
0.85714	0.74186	0.69883
1.0	1.5354	0.8516
1.0	0.8774	0.895
0.4	0.4	0.2
1.0	0.66125	0.66125
1.0	0.9435	0.59133
1.33333	1.043	0.59133
2.0	1.5805	1.645
0.8	0.7548	0.9435
1.2	0.9806	0.96767
1.66667	1.62367	4.387
0.8	0.6322	0.72033
2.33333	2.086	1.086
1.0	0.8225	0.9515
1.0	1.0725	0.871
1.66667	1.41933	1.3225
1.0	0.88943	0.8452
1.0	1.043	0.59133
1.0	0.77417	0.729
1.0	0.6935	0.59133
0.66667	0.5215	0.28225
1.0	1.03233	1.0485
1.0	0.766	0.774
1.33333	1.49467	1.113
0.0	0.0	0.0
1.0	1.032	0.516
1.0	1.0	0.66667
0.75	0.83875	0.914
1.0	0.84417	0.68833
1.0	1.0	1.645
0.6	0.6	0.66667
1.0	0.72575	0.758
2.33333	1.92467	5.387
1.0	1.09675	0.84675
0.0	0.0	0.0
1.0	1.008	1.3385
1.0	1.24733	0.96767
0.5	0.516	1.032
0.8	1.0	0.8
0.8	0.9162	0.91925
0.66667	0.96767	1.903
1.66667	1.41933	0.75267
1.0	1.0	1.161
0.75	0.895	0.66125
0.6	0.729	0.66667
0.75	0.5565	0.742
0.66667	0.586	0.6
1.5	1.21	1.516
1.0	0.96767	1.3225
1.0	1.0725	0.774
1.0	1.1775	0.5
0.875	0.70562	0.6258
1.0	1.01067	0.67733
0.75	0.629	0.516
1.33333	1.129	0.79567
1.0	0.79025	0.8225
1.0	1.258	0.59133
1.0	1.24733	2.0
0.75	0.76612	0.90325
0.0	0.0	0.0
0.22222	0.22222	0.14286
1.0	1.008	0.758
2.0	2.355	3.774
0.83333	0.72583	0.6775
0.5	0.55917	0.75
2.0	2.1935	1.1935
1.0	1.258	0.758
0.75	0.6935	0.59133
1.0	0.8225	0.79567
0.0	0.0	0.0
0.83333	0.77417	0.66125
0.75	0.6935	0.887
1.5	1.242	0.742
1.0	0.387	0.387
2.0	1.70967	1.5805
1.5	1.0805	1.0805
0.0	0.0	0.0
0.66667	0.92467	1.516
0.75	0.41125	0.54833
1.5	1.145	1.645
0.85714	0.76957	0.8774
1.0	0.91125	0.871
1.0	0.9435	0.59133
2.33333	2.29033	1.984
1.0	0.9742	0.9032
0.8	0.5032	0.379
0.75	0.6855	0.46233
1.0	1.0725	0.8225
1.0	0.758	1.0
1.0	0.992	1.242
0.8	0.6904	0.5936
1.0	1.3098	0.942
1.0	0.90325	0.8145
2.25	1.84675	3.0805
1.0	1.08875	0.871
2.0	1.6775	2.258
1.0	0.9936	0.91925
1.0	1.1678	1.0
0.8	0.6838	0.76333
0.75	0.6935	0.887
0.8	0.7742	0.766
1.0	0.758	0.72033
1.0	0.6935	0.0
0.85714	0.85257	0.7936
1.0	0.7484	0.90333
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	1.1935	0.758
0.0	0.0	0.0
1.0	0.89267	0.89267
1.0	0.78225	0.656
2.0	1.516	1.516
0.75	0.67338	0.6774
1.0	1.129	1.2095
1.0	0.7418	0.67725
0.6	0.4064	0.5
1.0	1.13967	1.2095
1.0	1.28225	1.03225
1.0	1.226	0.855
0.83333	0.83333	0.875
0.5	0.90325	0.66667
1.25	1.0725	1.371
0.85714	0.74186	0.7095
1.0	0.9435	0.59133
0.8	0.7548	0.8225
0.0	0.0	0.0
1.0	0.6935	1.0
0.66667	0.49467	0.5645
0.5	0.6855	0.5
1.5	1.28225	1.03233
1.0	1.484	0.9275
0.66667	0.785	0.774
1.0	1.01067	0.80633
0.0	0.0	0.0
0.75	0.758	0.67733
1.66667	1.645	1.6935
0.8	0.6774	0.79567
0.8	0.8322	0.66125
0.33333	0.33333	0.0
1.0	0.5805	0.5805
1.0	0.9096	0.84933
0.75	0.72575	0.758
2.0	1.63433	1.6935
1.0	0.91125	0.88167
1.5	1.3385	1.161
1.0	1.01067	0.67733
1.0	0.903	0.903
1.0	1.258	1.516
2.0	1.4515	1.516
0.85714	0.73736	0.73388
1.0	1.0	1.0
0.66667	0.54833	0.3225
1.0	1.0	1.0
0.5	0.6855	0.5
2.2	1.5614	1.36567
1.0	0.8655	0.8064
0.85714	0.89857	0.79567
1.0	0.96775	0.71775
1.5	1.484	0.984
2.5	2.0805	3.645
1.0	0.9435	0.59133
1.33333	1.086	1.3225
1.0	1.258	1.516
1.0	0.98375	0.46233
1.0	0.6935	0.54025
1.0	0.71775	0.6775
1.33333	1.258	2.387
1.0	1.0	1.0
0.75	0.72575	0.79567
1.0	1.01067	0.903
0.75	0.75	0.63433
0.5	0.54833	0.5725
1.33333	1.29033	3.516
0.83333	0.91933	0.7548
0.5	0.5	1.0
1.0	1.3225	1.0
1.0	0.871	0.75267
1.0	0.9548	0.73375
0.83333	0.91933	1.172
1.5	1.258	2
1.66667	1.24733	0.914
1.5	1.387	1.774
1.0	0.973	0.758
1.0	0.5645	0.58067
0.75	0.6935	0.887
1.66667	1.62367	4.387
0.66667	1.0	1.0
1.0	1.172	0.484
1.0	1.05367	0.5805
1.0	0.5725	0.758
3.0	2.58067	1.58067
2.5	2.5645	1.5645
0.0	0.0	0.0
0.0	0.0	0.0
1.0	0.887	1.01067
1.0	0.97575	1.0
1.75	1.70975	0.70975
1.0	1.03233	1.0485
1.0	0.85475	0.9162
0.75	0.8065	0.984
0.0	0.0	0.0
0.6	0.529	0.88167
1.0	1.013	0.9275
0.71429	0.62671	0.6774
0.75	0.75	0.887
4.5	4.0805	6.645
0.83333	0.672	0.758
1.0	0.7806	0.63433
1.0	0.76333	0.8225
0.75	0.65325	0.70967
1.0	0.88167	0.54833
0.83333	0.8065	0.8
0.66667	0.50533	0.50533
1.0	0.8838	0.83867
1.0	0.96767	1.0
1.0	0.82486	0.8774
1.0	1.03225	1.0645
0.8	0.4838	0.66667
1.0	1.129	0.66667
1.0	0.68817	0.79025
1.33333	1.387	1.5805
1.0	1.25	2.516
1.0	0.81717	0.72575
1.0	0.957	0.62367
0.75	1.20975	0.75
1.33333	1.774	3.516
1.0	1.008	0.758
1.0	0.9435	0.59133
1.0	1.0725	0.93533
0.75	0.40325	0.53767
0.66667	0.50533	0.516
1.0	1.129	1.258
1.0	1.0725	0.8225
0.0	0.0	0.0
